"variable","apparent_kcal","se.x","ci_l.x","ci_u.x","apparent_se_ea","se.y","ci_l.y","ci_u.y","apparent_se","se","ci_l","ci_u"
"1",2702.54849441102,39.9779772118203,2624.19309890109,2780.90388992095,41.66726243418,1.04560605802462,39.6179122184349,43.7166126499252,64.6642195482852,0.942854742034022,62.8162582112457,66.5121808853247
"2",2262.20937423111,17.3912736330301,2228.12310426509,2296.29564419713,34.6995252336438,0.657966781362866,33.4099340391488,35.9891164281387,55.4506240584662,0.431279256526642,54.6053322483947,56.2959158685376
"1",2369.7213928422,30.308003606568,2310.31879733002,2429.12398835439,31.5884952498659,0.773288461377898,30.0728777159049,33.104112783827,54.9698255675849,1.01187881270427,52.9865795379654,56.9530715972044
"2",2323.42730088321,25.4862132680168,2273.47524077559,2373.37936099083,31.1046770683571,0.708380516562368,29.716276768545,32.4930773681693,54.4973563836188,0.597321298742341,53.3266281508851,55.6680846163525
"3",2363.71491927733,24.1619845535747,2316.35829975731,2411.07153879735,41.6046702503057,0.960166344344734,39.7227787962226,43.4865617043889,60.2424329214441,0.609436748176932,59.0479588441621,61.4369069987261
"Balaka",2360.63973754633,76.662711605794,2210.3835838418,2510.89589125087,35.5913944175621,3.05070256540022,29.6121272618338,41.5706615732905,60.2210454858149,2.80184384137272,54.729532466419,65.7125585052108
"Blantyre",2466.11848026594,61.5506379862069,2345.48144658751,2586.75551394437,38.2946268020949,2.03501199519201,34.3060765834115,42.2831770207782,62.7445588144447,1.72816629752719,59.3574151119955,66.1317025168939
"Blantyre City",2691.45862321512,69.1462874806281,2555.93439008844,2826.98285634181,40.291984290624,1.75445782749353,36.8533101363423,43.7306584449057,64.4034929002521,1.60928293896197,61.2493562989519,67.5576295015524
"Chikwawa",2401.50204360839,98.7854067218953,2207.88620423534,2595.11788298145,89.520173689076,7.15344997241141,75.4996693779406,103.540678000211,70.4964116327406,3.39030175241159,63.8515423012909,77.1412809641904
"Chiradzulu",2299.09944806425,45.7010607509738,2209.52701493707,2388.67188119144,32.8407898041941,1.81201255852856,29.2893104499438,36.3922691584443,60.3385576096761,1.37643286718014,57.6407987628658,63.0363164564864
"Chitipa",2307.57193823843,71.3534325313328,2167.72178030371,2447.42209617315,21.7289882384512,1.7913222636167,18.2180611170577,25.2399153598447,52.2241788077802,2.30251794158987,47.7113265685068,56.7370310470536
"Dedza",2244.89654532487,86.1909376948181,2075.9654116493,2413.82767900045,24.9111992728789,1.58926716497073,21.7962928677242,28.0261056780336,52.9751848554592,2.13676731100177,48.7871978825532,57.1631718283652
"Dowa",2235.97478617453,82.6402064426851,2074.00295787191,2397.94661447714,29.6978564462045,1.88866568355763,25.9961397275948,33.3995731648142,52.7707635279037,1.91899487859047,49.0096026793496,56.5319243764579
"Karonga",2257.67645392702,80.8101787130821,2099.29141406513,2416.0614937889,39.2165840939067,1.90500680638983,35.482839363079,42.9503288247345,55.349556544653,2.94735698594447,49.5728430026193,61.1262700866867
"Kasungu",2223.59855352993,85.2064977724939,2056.59688664705,2390.60022041281,32.8908318332506,2.63842357861685,27.7196166432003,38.0620470233009,52.6035326193432,1.55473808888179,49.5563019597422,55.6507632789441
"Likoma",2512.78551954488,86.6553037679425,2342.94424509033,2682.62679399942,54.9349643869103,3.04801335382011,48.9609679890258,60.9089607847949,72.8105380690984,3.32847137781354,66.2868540450115,79.3342220931854
"Lilongwe",2263.12867864877,52.3099337065417,2160.60309255027,2365.65426474727,25.9933607422987,1.19491006514992,23.6513800498404,28.3353414347569,53.3372097959299,1.40583775500564,50.5818184280122,56.0926011638476
"Lilongwe City",2723.90204796255,74.6885967311076,2577.51508831374,2870.28900761136,41.6016746076097,1.38320826524438,38.8906362246125,44.3127129906068,63.2056372550011,1.5777990316027,60.1132079782176,66.2980665317846
"Machinga",2148.4075356337,61.6130372551317,2027.64820163551,2269.16686963188,29.9510640384867,1.74339822475706,26.5340663072518,33.3680617697216,53.5050969361893,1.8641930315092,49.8513457342008,57.1588481381779
"Mangochi",2378.35993195167,98.9647995178867,2184.39248915939,2572.32737474396,27.9705512383224,1.9139543219722,24.2192696992021,31.7218327774426,58.4460150727551,1.91273999422527,54.6971135722842,62.194916573226
"Mchinji",2453.5290264095,78.4992682593179,2299.67328780849,2607.38476501051,32.263970192337,2.17031663959738,28.0102277436781,36.5177126409958,57.4392398496503,2.10691483436194,53.3097626558077,61.5687170434929
"Mulanje",2024.29160759508,113.43147486272,1801.97000215088,2246.61321303927,35.0755955025372,3.65869390975065,27.9046872089699,42.2465037961045,51.2616949556874,2.68064279822838,46.0077316157431,56.5156582956317
"Mwanza",2289.44903342425,73.8323568419675,2144.74027312028,2434.15779372821,36.7853066816882,2.0002497049553,32.8648892998889,40.7057240634874,53.9412741014734,1.47967685956483,51.041160747969,56.8413874549778
"Mzimba",2363.82411507849,73.0944373471609,2220.56165040783,2507.08657974914,29.8193252817634,1.94386330340495,26.0094232162206,33.6292273473061,54.7573428909733,2.02213440078603,50.7940322935332,58.7206534884134
"Mzuzu City",2669.29998999453,83.6742475943735,2505.30147827607,2833.29850171299,39.7148036080495,2.03106050815871,35.7339981616368,43.6956090544622,63.8590296694685,2.25347812591274,59.4422937027307,68.2757656362063
"Neno",2378.87644489044,72.9932470591014,2235.81230953996,2521.94058024091,43.7459895651472,2.82356835519607,38.2118972810759,49.2800818492185,58.3459838638073,1.92041475756027,54.58204010361,62.1099276240047
"Nkhatabay",2227.93045447639,76.0680309076504,2078.83985352251,2377.02105543026,28.8297744517619,1.96658373194458,24.9753411645682,32.6842077389557,46.7448573569658,2.90476237556173,41.0516277172178,52.4380869967138
"Nkhotakota",2109.05917559289,82.0095224206555,1948.32346525908,2269.79488592671,24.5778997196988,1.19682230846882,22.2321710992058,26.9236283401918,44.8236598069659,1.96359120617026,40.9750917625126,48.6722278514192
"Nsanje",2319.3875809909,112.514399981409,2098.86340928521,2539.9117526966,110.516876720698,10.7558475584562,89.435802882921,131.597950558476,65.658082453978,3.4086810256784,58.9771904088633,72.3389744990927
"Ntcheu",2428.22029892583,94.9030532480834,2242.2137325367,2614.22686531496,29.5997045953476,2.12985137578308,25.4252726063897,33.7741365843056,57.4639757780248,2.40922747791801,52.7419766907413,62.1859748653084
"Ntchisi",2078.46589539061,88.3586270634706,1905.2861686228,2251.64562215842,21.7002992341046,1.41083734916917,18.9351088416891,24.4654896265202,47.5680632067777,1.62318786823972,44.3866734448855,50.7494529686699
"Phalombe",1929.62267226697,78.4324892053175,1775.89781820672,2083.34752632722,31.1145841664785,2.47296727325131,26.2676573759597,35.9615109569973,52.191984690718,1.93374410172668,48.401915896017,55.9820534854191
"Rumphi",2442.02669728816,64.8988340865249,2314.82731983993,2569.22607473639,24.6068534313049,1.76600173181207,21.1455536403179,28.0681532222919,55.6713922680469,1.88260156267625,51.9815610079626,59.3612235281312
"Salima",2056.23325844638,68.882004569955,1921.22701030634,2191.23950658641,44.6650491658299,6.33136471826047,32.2558023450518,57.074295986608,50.78011509232,1.71977430155771,47.4094193997293,54.1508107849106
"Thyolo",2339.05177538086,72.5129552606233,2196.92899465747,2481.17455610425,39.5077158983148,2.76524955332503,34.0879263655323,44.9275054310973,59.8197074874368,1.92380270094613,56.0491234802215,63.5902914946521
"Zomba",2537.56948401138,76.6754247401088,2387.28841302146,2687.85055500131,33.5062999097668,1.78643649487126,30.0049487191512,37.0076511003825,63.2967982518931,1.91907500422011,59.5354803599906,67.0581161437955
"Zomba City",3036.65498519165,91.3008971866366,2857.70851494965,3215.60145543365,48.3694048022474,2.01488300592177,44.4203066775789,52.3185029269159,73.6130141767038,2.18634082055736,69.3278649104816,77.898163442926
